FIPS,property_value_median,japan_p,us_p,other_p
12011110403,222100.0,4.7619,2.381,92.8571
12011060114,265900.0,0.0,9.0909,90.9091
12011060120,351000.0,9.0909,0.0,90.9091
12011040902,166700.0,2.6316,7.8947,89.4737
12011010601,520100.0,0.0,0.0,100.0
12011060206,112300.0,3.3333,3.3333,93.33340000000001
12011070405,359900.0,4.3478,0.0,95.6522
12011110321,390900.0,10.0,0.0,90.0
12011020405,163200.0,2.6316,2.6316,94.73679999999999
12011042700,366300.0,3.4483,10.3448,86.20689999999999
12011030902,471100.0,3.0303,9.0909,87.8788
12011043100,285400.0,0.0,3.2258,96.7742
12011050900,332000.0,0.0,4.1667,95.8333
12071000504,60700.0,0.0,0.0,100.0
12071010601,214300.0,0.0,10.5263,89.4737
12071010602,177400.0,0.0,19.2308,80.7692
12085001409,262300.0,0.0,9.0909,90.9091
12085001602,920200.0,0.0,33.3333,66.66669999999999
12085000606,379400.0,0.0,100.0,0.0
12115002724,125200.0,0.0,100.0,0.0
12115000407,130200.0,9.0909,9.0909,81.81819999999999
12011060121,564500.0,28.5714,0.0,71.4286
12015020103,231000.0,0.0,14.2857,85.7143
12015021001,193100.0,0.0,33.3333,66.66669999999999
12055980200,96120.0,0.0,0.0,100.0
12055961301,200700.0,0.0,0.0,100.0
12103027703,445000.0,0.0,0.0,100.0
12103028103,179700.0,10.0,5.0,85.0
12103028104,195000.0,0.0,0.0,100.0
12103024408,170400.0,0.0,7.1429,92.8571
12086000710,24000.0,2.439,14.6341,82.9269
12086009315,124600.0,5.4054,10.8108,83.7838
12086001605,121500.0,6.6667,2.2222,91.1111
12086009030,168000.0,0.0,15.7895,84.2105
12086009024,162300.0,0.0,5.5556,94.4444
12086009039,357400.0,0.0,25.0,75.0
12086008906,324800.0,4.3478,8.6957,86.95649999999999
12091021502,275100.0,0.0,9.0909,90.9091
12091021200,223900.0,0.0,0.0,100.0
12091021002,301600.0,0.0,14.2857,85.7143
12091022001,158400.0,3.5714,7.1429,89.2857
12115002008,334800.0,0.0,0.0,100.0
12105010502,260700.0,7.1429,0.0,92.8571
12105015701,87000.0,0.0,0.0,100.0
12071010801,350900.0,0.0,28.5714,71.4286
12071010802,299300.0,0.0,21.4286,78.5714
12071010803,401100.0,0.0,22.2222,77.7778
12055960602,115000.0,0.0,0.0,100.0
12055960501,50600.0,0.0,0.0,100.0
12086011900,259600.0,0.0,0.0,100.0
12086011800,308300.0,0.0,0.0,100.0
12055960102,114500.0,0.0,0.0,100.0
12055960601,86100.0,0.0,0.0,100.0
12097042702,161600.0,0.0,0.0,100.0
12095014503,55900.0,0.0,22.2222,77.7778
12095016728,238100.0,0.0,0.0,100.0
12086009020,158700.0,2.2727,9.0909,88.6364
12086009029,193200.0,3.8462,3.8462,92.30760000000001
12086009031,165100.0,0.0,17.1429,82.8571
12086009028,209000.0,0.0,0.0,100.0
12086009314,131100.0,6.8182,11.3636,81.81819999999999
12086002502,199200.0,2.439,4.878,92.683
12086002404,252800.0,8.8235,2.9412,88.23530000000001
12086002403,200000.0,2.381,2.381,95.238
12086005102,273600.0,10.7143,3.5714,85.71430000000001
12021010508,258200.0,0.0,0.0,100.0
12105010604,144200.0,0.0,12.5,87.5
12105011834,196700.0,0.0,0.0,100.0
12105010603,204100.0,0.0,0.0,100.0
12105011204,97300.0,0.0,0.0,100.0
12015010302,104300.0,0.0,14.2857,85.7143
12063210700,172300.0,0.0,0.0,100.0
12063210100,102200.0,0.0,0.0,100.0
12015030301,281100.0,0.0,0.0,100.0
12053041302,123600.0,0.0,14.2857,85.7143
12053041305,148800.0,0.0,0.0,100.0
12091023303,395900.0,0.0,16.6667,83.33330000000001
12057012212,216100.0,0.0,0.0,100.0
12057013801,98400.0,0.0,0.0,100.0
12057006103,457000.0,0.0,11.1111,88.8889
12057011013,236500.0,20.0,0.0,80.0
12057011520,509600.0,0.0,25.0,75.0
12091023308,473300.0,0.0,7.1429,92.8571
12103027321,345500.0,16.6667,0.0,83.33330000000001
12103027801,393900.0,0.0,0.0,100.0
12095017013,177400.0,0.0,0.0,100.0
12101030203,36300.0,0.0,0.0,100.0
12101031902,235700.0,0.0,0.0,100.0
12101030202,180300.0,0.0,8.3333,91.6667
12086005104,201700.0,0.0,0.0,100.0
12086005409,218500.0,5.8824,7.8431,86.27449999999999
12086002705,284100.0,0.0,0.0,100.0
12086005303,125000.0,8.1633,0.0,91.83670000000001
12086003706,90540.0,4.0,12.0,84.0
12086003707,340000.0,3.4483,0.0,96.5517
12086006705,468500.0,16.6667,0.0,83.33330000000001
12086006205,287000.0,2.9851,1.4925,95.52239999999999
12086006201,348300.0,5.1282,2.5641,92.30770000000001
12086006206,526900.0,0.0,2.7778,97.2222
12086006203,642900.0,3.3333,6.6667,90.0
12086005403,279400.0,6.25,8.3333,85.4167
12071001300,141000.0,0.0,8.3333,91.6667
12071001501,219000.0,0.0,11.1111,88.8889
12071001601,172000.0,0.0,15.3846,84.6154
12071001602,58100.0,10.0,10.0,80.0
12086005407,300000.0,2.2727,0.0,97.7273
12086006503,418300.0,0.0,5.2632,94.7368
12086006501,398300.0,3.125,3.125,93.75
12035060213,195200.0,0.0,27.2727,72.7273
12071001701,143000.0,0.0,12.5,87.5
12071020102,78200.0,10.0,0.0,90.0
12095014805,169400.0,10.5263,5.2632,84.2105
12019030304,157300.0,0.0,0.0,100.0
12019030103,124400.0,0.0,0.0,100.0
12019030303,146800.0,0.0,0.0,100.0
12095016001,472100.0,5.8824,5.8824,88.23519999999999
12083002402,210600.0,0.0,0.0,100.0
12083002401,280400.0,0.0,0.0,100.0
12083001301,138600.0,0.0,0.0,100.0
12083002100,236900.0,10.0,0.0,90.0
12083001401,65100.0,12.5,0.0,87.5
12083002602,93300.0,0.0,0.0,100.0
12083001900,99100.0,7.1429,14.2857,78.5714
12095014302,106600.0,0.0,0.0,100.0
12083001102,124800.0,0.0,0.0,100.0
12005001404,226600.0,0.0,33.3333,66.66669999999999
12005000806,180500.0,0.0,0.0,100.0
12005000805,145600.0,9.0909,9.0909,81.81819999999999
12005000803,116700.0,0.0,0.0,100.0
12095014806,278000.0,0.0,0.0,100.0
12095014810,365900.0,0.0,0.0,100.0
12057001001,128500.0,0.0,10.0,90.0
12057011708,538800.0,0.0,0.0,100.0
12057014121,225800.0,0.0,0.0,100.0
12057014104,32200.0,0.0,0.0,100.0
12073002512,278600.0,0.0,0.0,100.0
12101031206,95100.0,0.0,0.0,100.0
12113010708,154600.0,0.0,0.0,100.0
12117021306,278100.0,0.0,0.0,100.0
12117021100,169900.0,0.0,0.0,100.0
12117022101,105000.0,4.7619,19.0476,76.1905
12095014502,57900.0,0.0,0.0,100.0
12073002006,158700.0,0.0,0.0,100.0
12073001300,123980.0,0.0,0.0,100.0
12073001402,103500.0,0.0,14.2857,85.7143
12095014813,319600.0,0.0,23.0769,76.9231
12073000904,143000.0,12.5,0.0,87.5
12095016002,848400.0,0.0,0.0,100.0
12071010306,211900.0,0.0,15.3846,84.6154
12071030300,315600.0,0.0,0.0,100.0
12071000401,144900.0,0.0,0.0,100.0
12095016406,121300.0,5.5556,0.0,94.4444
12071020400,228000.0,0.0,16.6667,83.33330000000001
12071020501,46300.0,0.0,9.0909,90.9091
12095014904,178500.0,7.1429,7.1429,85.7142
12005002604,205400.0,4.7619,19.0476,76.1905
12005002608,351000.0,0.0,0.0,100.0
12005002400,119800.0,0.0,20.0,80.0
12071020502,107400.0,0.0,0.0,100.0
12071020600,129700.0,0.0,11.1111,88.8889
12095016301,186900.0,9.0909,0.0,90.9091
12005002300,126500.0,0.0,23.5294,76.4706
12057011614,122700.0,3.125,9.375,87.5
12103024804,185700.0,0.0,4.1667,95.8333
12103025417,66300.0,0.0,0.0,100.0
12103025505,75800.0,0.0,0.0,100.0
12103026101,232000.0,0.0,0.0,100.0
12103026912,87000.0,0.0,0.0,100.0
12103027210,186500.0,0.0,11.1111,88.8889
12103024512,159100.0,5.8824,23.5294,70.5882
12103024805,166200.0,0.0,10.0,90.0
12113010812,299400.0,0.0,0.0,100.0
12086004106,1081100.0,8.3333,0.0,91.6667
12086000411,171600.0,9.375,6.25,84.375
12086009026,154400.0,9.7561,4.878,85.3659
12086000126,244800.0,8.3333,0.0,91.6667
12086005410,155200.0,5.0847,5.0847,89.8306
12095016302,205200.0,4.5455,0.0,95.4545
12095016402,161800.0,0.0,5.8824,94.1176
12073000905,149900.0,0.0,5.2632,94.7368
12073002005,105440.0,0.0,5.0,95.0
12073002103,91900.0,5.5556,16.6667,77.77770000000001
12073002513,263400.0,0.0,0.0,100.0
12073001901,152800.0,0.0,20.0,80.0
12035060212,194500.0,0.0,0.0,100.0
12095015002,164700.0,0.0,0.0,100.0
12095015003,157100.0,3.2258,6.4516,90.3226
12071000402,99500.0,0.0,0.0,100.0
12071000502,81200.0,0.0,0.0,100.0
12001000301,145000.0,4.1667,0.0,95.8333
12071020700,262000.0,0.0,0.0,100.0
12086010193,386100.0,0.0,3.8462,96.1538
12086010198,360900.0,0.0,0.0,100.0
12095014605,75700.0,0.0,13.3333,86.6667
12095015103,178600.0,9.0909,9.0909,81.81819999999999
12103027326,144800.0,0.0,0.0,100.0
12103027327,272200.0,0.0,60.0,40.0
12103028700,87600.0,9.0909,0.0,90.9091
12103020108,289600.0,0.0,0.0,100.0
12103020207,231200.0,0.0,0.0,100.0
12095015104,141000.0,0.0,0.0,100.0
12103025122,284200.0,0.0,0.0,100.0
12103025123,286300.0,0.0,5.8824,94.1176
12103025209,165500.0,0.0,10.0,90.0
12103025307,186000.0,0.0,12.5,87.5
12103025413,84000.0,0.0,15.0,85.0
12103025412,213700.0,0.0,0.0,100.0
12086007300,1104700.0,0.0,0.0,100.0
12086006801,920500.0,16.0,8.0,76.0
